Date,Description,Category,Debit,Credit,Balance
2024-02-15,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,12404.76
2024-02-18,CON EDISON ELECTRIC & GAS UTILITY,Utilities & Bills,98.7,,12306.06
2024-02-20,WHOLE FOODS MARKET #10424 GROCERY,Groceries,122.15,,12183.91
2024-02-22,STARBUCKS STORE #04822 COFFEE,Food & Dining,7.15,,12176.76
2024-02-25,VERIZON WIRELESS MONTHLY BILL,Utilities & Bills,85.0,,12091.76
2024-02-27,UBER TRIP HELP.UBER.COM,Transportation & Fuel,24.5,,12067.26
2024-03-01,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,15817.26
2024-03-02,ONLINE TRANSFER - RENT TO HIGHLAND APARTMENTS,Rent & Housing,1950.0,,13867.26
2024-03-05,IRS TREAS 310 TAX REFUND DIRECT DEPOSIT,Salary / Income,,1420.0,15287.26
2024-03-08,APPLE STORE RETAIL - AIRPODS PRO,Shopping & Retail,249.0,,15038.26
2024-03-11,CHEVRON 0092495 FUEL,Transportation & Fuel,46.8,,14991.46
2024-03-12,EQUINOX FITNESS MONTHLY GYM MEMBERSHIP,Healthcare & Medical,49.99,,14941.47
2024-03-15,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions & Media,19.99,,14921.48
2024-03-15,SPOTIFY USA STREAMING,Subscriptions & Media,10.99,,14910.49
2024-03-15,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,18660.49
2024-03-18,WHOLE FOODS MARKET #10424 GROCERY,Groceries,154.2,,18506.29
2024-03-21,AMAZON.COM*HOME SUPPLIES,Shopping & Retail,68.9,,18437.39
2024-03-24,CON EDISON ELECTRIC & GAS UTILITY,Utilities & Bills,105.3,,18332.09
2024-03-25,VERIZON WIRELESS MONTHLY BILL,Utilities & Bills,85.0,,18247.09
2024-03-28,FREELANCE DESIGN INVOICE CLIENT PAYMENT,Salary / Income,,850.0,19097.09
2024-03-30,CVS PHARMACY #0312 HEALTH,Healthcare & Medical,34.2,,19062.89
2024-04-01,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,22812.89
2024-04-02,ONLINE TRANSFER - RENT TO HIGHLAND APARTMENTS,Rent & Housing,1950.0,,20862.89
2024-04-05,TRADER JOE'S #520 ORGANIC GROCERIES,Groceries,94.8,,20768.09
2024-04-08,AMAZON.COM*SUMMER WEAR,Shopping & Retail,115.5,,20652.59
2024-04-12,EQUINOX FITNESS MONTHLY GYM MEMBERSHIP,Healthcare & Medical,49.99,,20602.6
2024-04-15,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions & Media,19.99,,20582.61
2024-04-15,SPOTIFY USA STREAMING,Subscriptions & Media,10.99,,20571.62
2024-04-15,ACH DEPOSIT: ACME CORP BI-WEEKLY PAYROLL,Salary / Income,,3750.0,24321.62
2024-04-19,CON EDISON ELECTRIC & GAS UTILITY,Utilities & Bills,92.1,,24229.52
2024-04-22,SHELL OIL 1092 FUEL,Transportation & Fuel,52.4,,24177.12
2024-04-25,VERIZON WIRELESS MONTHLY BILL,Utilities & Bills,85.0,,24092.12
2024-04-29,WHOLE FOODS MARKET #10424 GROCERY,Groceries,141.6,,23950.52
